part_number,description,cost
SXWTBPSW110001,TB-PS-W1 TERM BASE PWR SUP W1,70.11
SXWTERLBL10011,TERM LBL PRINTOUT SHT W1 A4,314.54
SXWTERLBL10012,"Term Lbl printout sht, W1, Ltr,100 sheet",628.09
6551001000,Termom.-40/+60oC L200mm?100mm,35.45
SXWSWECDBTS001,Timescale DB Option - EC,2790.25
SXWSWESDBTS001,Timescale DB Option - ES,558.26
SXWSWASDBXS001,Timescale DB Option - SmartX,328.42
TIWD1B0,TMP IMRSN WTIGHT 8IN,296.21
3411040000,Transformer 40VA YT 40,74.43
3411060000,Transformer 60VA YT 60,93.2
3411100010,Transformer 96 VA YT 96,95.47
3413032000,Transformer TR 32,73.43
3413060000,Transformer TR 60,83
TC903-3A4LXPXA,Tstat FCU on/off 3A B/M 240V Medium,155.15
TC907-3A4LXPXAB,Tstat FCU on/off 3A B/M 240V Optimum,186.18
TC903-3A4LDPSA,Tstat FCU on/off 3A B/M D 240V Medium,197.95
TC907-3A4LDPSAB,Tstat FCU on/off 3A B/M D 240V Optimum,237.54
TC903-EF4LDPSA,Tstat FCU on/off ECM B/M D 240V Medium,201.16
TC907-EF4LDPSAB,Tstat FCU on/off ECM B/M D 240V Optimum,240.75
TC903-3A4PDPSA,Tstat FCU prop 3A B/M D 240V Medium,179.76
TC907-3A4PDPSAB,Tstat FCU prop 3A B/M D 240V Optimum,216.14
TC903-3A4PDPSA-24,Tstat FCU prop 3A B/M D 24V Medium,179.76
TC907-3A4PDPSA-24B,Tstat FCU prop 3A B/M D 24V Optimum,216.14
TC903-3A2L,"TStat,FCU,LCD,2P,240V,Wt",80.12
TC903-3A4LA,"TStat,FCU,LCD,4P,240V,Wt",91.79
TC903-3A4DLSA,"TStat,FCU,LCD,4P,240V,XS,Wt",119.95
TC903-3A4LMA,"TStat,FCU,LCD,Modbus,4P,240V,Wt",140.53
TC903-3A4DLMSA,"TStat,FCU,LCD,Modbus,4P,240V,XS,Wt",179.23
TC903-4FMSA,"TStat,FCU,LCD,Modbus,4P,ECM,240V,Wt",181.96
TC907-3A2L,"TStat,FCU,Touch,2P,240V,Wt",140.87
TC907-3A4LA,"TStat,FCU,Touch,4P,240V,Wt",152.39
TC907-3A4DLSAB,"TStat,FCU,Touch,4P,240V,XS,Bk",166.86
TC907-3A4DLSA,"TStat,FCU,Touch,4P,240V,XS,Wt",166.86
TC907-3A4LMA,"TStat,FCU,Touch,Modbus,4P,240V,Wt",187.52
TC907-3A4DLMSA,"TStat,FCU,Touch,Modbus,4P,240V,XS,Wt",211.66
TC907-4FMSA,"TStat,FCU,Touch,Modbus,4P,ECM,240V,Wt",228.79
TC903-3A4DPSA,"TStat,FCU-P,LCD,4P,240V,XS,Wt",135.92
TC903-3A4DPMSA,"TStat,FCU-P,LCD,Modbus,4P,240V,XS,Wt",163
TC903-3A4DPMSA-24,"TStat,FCU-P,LCD,Modbus,4P,24V,XS,Wt",163
TC907-3A2P-24,"TStat,FCU-P,Touch,2P,24V,Wt",158.64
TC907-3A4DPMSA,"TStat,FCU-P,Touch,Modbus,4P,240V,XS,Wt",209.8
TC907-3A4DPMSA-24,"TStat,FCU-P,Touch,Modbus,4P,24V,XS,Wt",209.86
MP130-230T,TWO POSITION ACTUATOR 230 V,169.44
MP130-24T,TWO POSITION ACTUATOR 24 V,133.98
MP130-230T-0,"Two position actuator, 230 V",169.44
MP130-24T-0,"Two position actuator, 24 V",133.98
6553049000,UG-MB,59.99
SXWUI16XX10001,UI-16 16 UNIVERSAL IN,508.47
SXWUI8A4X10001,UI-8/AO-4 UI/AO V/MA,556.24
SXWUI8A4H10001,UI-8/AO-4-H UI/AO V/mA HAND,695.17
SXWUI8V4X10001,UI-8/AO-V-4 UI/AO V,444.95
SXWUI8V4H10001,UI-8/AO-V-4-H UI/AO V HAND,645.55
SXWUI8D4X10001,UI-8/DO-FC-4 UI/DO FORM C,444.95
SXWUI8D4H10001,UI-8/DO-FC-4-H UI/DO FRMC HAND,662.12
SXWRE010DIM10001,Universal Dim module*,217.51
SXWADUSBC10002,"USB cable, Y-shaped, 1.35m (4.43 ft.)",85.98
SXWADUSBC10003,"USB cable, Y-shaped, 2.85m (9.35 ft.)",99.67
SXWADUSBB10002,USB Y CABLE SMARTX CONTR. 3 M,69.21
SXWADUSBC10001,"USB-C cable, Straight, 2.4m (7.87 ft.)",60.59
7212262000,V222 Valve PN16 DN100 kvs130,1298.19
7212266000,V222 Valve PN16 DN125 Kvs250,1636.68
7212270000,V222 Valve PN16 DN150 Kvs350,1992
7219270000,V292 Valve PN16 DN150 Kvs350,3390.8
7219266000,V292 Valve PN25 DN125 Kvs250,3027.57
7219262010,"V292 Valve, PN25, DN100,Kvs130",2902.5
7219254010,"V292 Valve, PN25, DN65, Kvs63",1695.11
7219258010,"V292 Valve, PN25, DN80, Kvs85",1974.36
7213238000,Valve 2 Way Flange V232/25/10,510.74
7213242000,Valve 2 Way Flange V232/32/16,578.97
7213246000,Valve 2 Way Flange V232/40/25,703.57
7213250000,Valve 2 Way Flange V232/50/38,828.31
7211120000,Valve 2Way Flange V211/15/2.5,233.75
7211244000,Valve 2Way Flange V212/50/38,711.9
7213106000,Valve 2Way Flange V231/15/0.25,238.42
7213110000,Valve 2Way Flange V231/15/0.40,238.42
7213114000,Valve 2Way Flange V231/15/0.63,238.42
7213118000,Valve 2Way Flange V231/15/1.0,238.42
7213122000,Valve 2Way Flange V231/15/1.6,238.42
7213126000,Valve 2Way Flange V231/15/2.5,238.42
7213130000,Valve 2Way Flange V231/15/4.0,238.42
7213138000,Valve 2Way Flange V231/25/10,283.88
7213142000,Valve 2Way Flange V231/32/16,414.6
7213146000,Valve 2Way Flange V231/40/25,414.6
VGS211F-20CS,Valve 2Way Flange VGS211F/20/6.3,690.86
7211744000,Valve 2Way Thread V211T/50/38,326.44
7214110000,Valve 2Way Thread V241/15/0.40,149
7214114000,Valve 2Way Thread V241/15/0.63,149
7214118000,Valve 2Way Thread V241/15/1.0,149
7214122000,Valve 2Way Thread V241/15/1.6,149
7214126000,VALVE 2WAY THREAD V241/15/2.5,149
7214130000,VALVE 2WAY THREAD V241/15/4.0,149
7214106000,VALVE 2WAY THREAD V241/15/KV0.,149
7214134000,VALVE 2WAY THREAD V241/20/6.3,169.85
7214138000,VALVE 2WAY THREAD V241/25/10,193.64
7214142000,VALVE 2WAY THREAD V241/32/16 (,234.75
7214146000,VALVE 2WAY THREAD V241/40/25,266.57
7214150000,VALVE 2WAY THREAD V241/50/38 (,358.67
7210702000,Valve 2Way Zone VZ22/15/0.16,44.4
7210706000,Valve 2Way Zone VZ22/15/0.25,44.4
7210710000,Valve 2Way Zone VZ22/15/0.4,44.4
7210718000,Valve 2Way Zone VZ22/15/1,44.4
7210722000,Valve 2Way Zone VZ22/15/1.6,44.4
7210726000,Valve 2Way Zone VZ22/20/2.5,69.48
7210730000,Valve 2Way Zone VZ22/20/4,69.48
VG311F-80C,Valve 3 way FI pn 16 VG311-80-100,899.4
7314125000,VALVE 3 WAY THREAD V341/15/2.5,173.26
7314133000,VALVE 3 WAY THREAD V341/20/6.3,193.64
7314137000,VALVE 3 WAY THREAD V341/25/10,213.97
7314141000,VALVE 3 WAY THREAD V341/32/16,255.25
7314145000,VALVE 3 WAY THREAD V341/40/25,298.44
7314149000,VALVE 3 WAY THREAD V341/50/38,384.94
7310730000,VALVE 3 WAY ZONE VZ32/20/4 (73,98.79
7317065000,Valve 3Way Flan.VTRE-F DN 100,746.11
7317067000,Valve 3Way Flan.VTRE-F DN 125,942.46
7317069000,Valve 3Way Flan.VTRE-F DN 150,1178.36
7317039000,Valve 3Way Flan.VTRE-F DN 20,192.98
7317041000,Valve 3Way Flan.VTRE-F DN 25,201.98
7317045000,Valve 3Way Flan.VTRE-F DN 32,257.63
7317049000,Valve 3Way Flan.VTRE-F DN 40,274.62
7317053000,Valve 3Way Flan.VTRE-F DN 50,353.84
7317057000,Valve 3Way Flan.VTRE-F DN 65,530.22
7317061000,Valve 3Way Flan.VTRE-F DN 80,608.66
7311717000,Valve 3Way Thread V311T/15/1.6,162.41
7311721000,Valve 3Way Thread V311T/15/2.5,162.41
7311733000,Valve 3Way Thread V311T/25/10,208.48
7311737000,Valve 3Way Thread V311T/32/16,230.08
7311741000,Valve 3Way Thread V311T/40/25,284.59
7311745000,Valve 3Way Thread V311T/50/38,398.06
7314121000,Valve 3Way Thread V341/15/1.6,173.26
7314129000,VALVE 3WAY THREAD V341/15/4.0,173.26
7310727000,Valve 3Way Zone CO VZ32/20/2.5,112
7310731000,Valve 3Way Zone CO VZ32/20/4,112
7310706000,Valve 3Way Zone VZ32/15/0.25,67.99
7310710000,Valve 3Way Zone VZ32/15/0.4,67.99
7310714000,Valve 3Way Zone VZ32/15/0.63,67.99
7310718000,Valve 3Way Zone VZ32/15/1,67.99
7310722000,VALVE 3WAY ZONE VZ32/15/1.6,67.99
7310726000,Valve 3Way Zone VZ32/20/2.5,98.79
7410706000,Valve 4Way Zone VZ42/15/0.25,71.51
7410710000,Valve 4Way Zone VZ42/15/0.4,71.51
7410714000,Valve 4Way Zone VZ42/15/0.63,71.51
7410718000,Valve 4Way Zone VZ42/15/1,71.51
7410722000,Valve 4Way Zone VZ42/15/1.6,71.51
7410726000,Valve 4Way Zone VZ42/20/2.5,108.04
7410730000,Valve 4Way Zone VZ42/20/4,108.04
7212254000,Valve2WayFl.PN16 V222/65/63,757.71
7212258000,Valve2WayFl.PN16 V222/80/100,962.51
7312165010,Valve3WayFL.PN16 V321/125/250,3388.63
7312169010,valve3WayFl.PN16 V321/150/320,4177.96
7312153010,Valve3WayFl.PN16 V321/65/63,825.64
7312157010,Valve3WayFl.PN16 V321/80/100,947.35
VB200R-20BS,VB200R-20BS 8.7T 00,143.07
VB210R-15BS03,VB210R-15BS 0.6T 00,110.31
VB210R-15BS04,VB210R-15BS 1.0T 00,110.31
VB210R-15BS05,VB210R-15BS 1.8T 00,110.31
VB210R-15BS07,VB210R-15BS 3.0T 00,130.4
VB210R-15BS08,VB210R-15BS 4.0T 00,130.4
VB210R-20BS09,VB210R-20BS 6.3T 00,131.34
VB310R-15BS05,VB310R-15BS 1.6T 00,174.43
VB310R-15BS09,VB310R-15BS 6.3T 00,203.37
7211116000,Ventil 2WAY Flanged V211/15/1.6,233.75
7211124000,Ventil 2WAY Flanged V211/15/4,233.75
7211128000,Ventil 2WAY Flanged V211/20/6.3,272.77
7211132000,Ventil 2WAY Flanged V211/25/10,311.4
7211136000,Ventil 2WAY Flanged V211/32/16,350.28
7211140000,Ventil 2WAY Flanged V211/40/25,389.15
7211144000,Ventil 2WAY Flanged V211/50/38,453.71
7211236000,Ventil 2WAY Flanged V212/32/16,600.66
7211240000,Ventil 2WAY Flanged V212/40/25,669.58
7211716000,Ventil 2WAY Threaded V211T/15/1.6,142.7
7211720000,Ventil 2WAY Threaded V211T/15/2.5,142.7
7211724000,Ventil 2WAY Threaded V211T/15/4,171.26
7211728000,Ventil 2WAY Threaded V211T/20/6.3,155.59
7211732000,Ventil 2WAY Threaded V211T/25/10,187.95
7211736000,Ventil 2WAY Threaded V211T/32/16,215.48
7211740000,Ventil 2WAY Threaded V211T/40/25,292.04
7211832000,Ventil 2WAY Threaded V212T/25/10,462.15
7211836000,Ventil 2WAY Threaded V212T/32/16,486.57
7211840000,Ventil 2WAY Threaded V212T/40/25,552.77
7211844000,Ventil 2WAY Threaded V212T/50/38,609.86
7311117000,Ventil 3WAY Flanged V311/15/1.6,246.78
7311121000,Ventil 3WAY Flanged V311/15/2.5,300.17
7311125000,Ventil 3WAY Flanged V311/15/4,246.78
7311129000,Ventil 3WAY Flanged V311/20/6.3,272.77
7311133000,Ventil 3WAY Flanged V311/25/10,311.4
7311137000,Ventil 3WAY Flanged V311/32/16,350.28
7311141000,Ventil 3WAY Flanged V311/40/25,421.76
7311145000,Ventil 3WAY Flanged V311/50/38,467.13
7311725000,Ventil 3WAY Threaded V311T/15/4,162.41
7311729000,Ventil 3WAY Threaded V311T/20/6.3,175.61
7312161010,Ventil3WAYFl.PN16 V321/100/160,1190.33
9814000311,Venturi Pipe - 2.8 m Integrated Fan,317.79
VF208W-65NS,VF208W 65NZ 260E B00,244.9
VG221F-100C,VG221F-100C 130M SU00,1311.1
VG221F-125C,VG221F-125C 200M SU00,1675.46
VG221F-150C,VG221F-150C 300M SU00,2306.38
VG221F-65C,VG221F-65C 63M SU00,859.41
VG221F-80C,VG221F-80C 100M SU00,1091.77
VG311F-100C,VG311F-100C 130M SU00,1056.23
VG311F-125C,VG311F-125C 200M SU00,2214.23
VG311F-150C,VG311F-150C 300M SU00,2776.46
VG311F-65C,VG311F-65C 63M SU00,737.22
VGS211F-100CS,VGS211F-100CS 140M SD00,2076.32
VGS211F-15CS03,VGS211F-15CS 0.63M SD00,634.02
VGS211F-15CS05,VGS211F-15CS 1.6M SD00,634.02
VGS211F-15CS04,VGS211F-15CS 1M SD00,634.02
VGS211F-15CS07,VGS211F-15CS 2.5M SD00,634.02
VGS211F-15CS08,VGS211F-15CS 4M SD00,634.02
VGS211F-25CS,VGS211F-25CS 10M SD00,773.7
VGS211F-32CS,VGS211F-32CS 16M SD00,838.01
VGS211F-40CS,VGS211F-40CS 25M SD00,875.3
VGS211F-50CS,VGS211F-50CS 35M SD00,946.67
VGS211F-65CS,VGS211F-65CS 63M SD00,1411.91
VGS211F-80CS,VGS211F-80CS 110M SD00,1744.04
VT2222,VLV BODY 2POS 2W 1/2IN NPT,29.17
VT2223,VLV BODY 2POS 2W 1/2IN NPT,29.76
VT2233,VLV BODY 2POS 2W 15MM RP,31.16
VT2232,VLV BODY 2POS 2W 15MM RP,31.37
VT2231,VLV BODY 2POS 2W 15MM RP,33.15
VT2332,VLV BODY 2POS 2W 20MM RP,37.49
VT2333,VLV BODY 2POS 2W 20MM RP,38.31
VT2337,VLV BODY 2POS 2W 20MM RP,47.6
VT2437,VLV BODY 2POS 2W 25MM RP,68
VT2325,VLV BODY 2POS 2W 3/4IN NPT,35.7
VT2327,VLV BODY 2POS 2W 3/4IN NPT,36.8
VT3233,VLV BODY 2POS 3W 15MM RP,40.88
VT3232,VLV BODY 2POS 3W 15MM RP,41.91
VT3231,VLV BODY 2POS 3W 15MM RP,44.53
VT3335,VLV BODY 2POS 3W 20MM RP,49.11
VT3332,VLV BODY 2POS 3W 20MM RP,49.82
VT3337,VLV BODY 2POS 3W 20MM RP,60.18
VT3333,VLV BODY 2POS 3W 20MM RP,83.95
VT3437,VLV BODY 2POS 3W 25MM RP,91.22
VM2427,VLV BODY MOD 2W 1IN NPT,90.54
VM2223P13A000,VLV MOD 2W 1/2IN NPT PROP SR,237.64
VM2437T33A000,VLV MOD 2W 25MM RP FLT NSR,90
VM2323T33A000,VLV MOD 2W 3/4IN NPT FLT NSR,177.07
VZ208C-15BP01,VZ208C-15BP 0.25E SU 00,41.14
VZ208C-15BP02,VZ208C-15BP 0.4E SU 00,41.14
VZ208C-15BP03,VZ208C-15BP 0.6E SU 00,41.14
VZ208C-15BP04,VZ208C-15BP 1.0E SU 00,41.14
VZ208C-15BP05,VZ208C-15BP 1.6E SU 00,41.14
VZ208C-20BP07,VZ208C-20BP 2.5E SU 00,62.19
VZ208E-15BP01,VZ208E-15BP 0.25E SU 00,37.18
VZ208E-15BP02,VZ208E-15BP 0.4E SU 00,37.18
VZ208E-15BP03,VZ208E-15BP 0.6E SU 00,37.18
VZ208E-15BP04,VZ208E-15BP 1.0E SU 00,37.18
VZ208E-15BP05,VZ208E-15BP 1.6E SU 00,37.18
VZ208E-20BP07,VZ208E-20BP 2.5E SU 00,42.85
VZ208E-20BP08,VZ208E-20BP 4.0E SU 00,75.56
VZ208E-20BP09,VZ208E-20BP 6.0E SU 00,85.7
VZ219C-15BP01,VZ219C-15BP 0.25E SU 00,42.38
VZ219C-15BP02,VZ219C-15BP 0.4E SU 00,42.38
VZ219C-15BP03,VZ219C-15BP 0.6E SU 00,42.38
VZ219C-15BP04,VZ219C-15BP 1.0E SU 00,42.38
VZ219C-15BP05,VZ219C-15BP 1.6E SU 00,42.38
VZ219C-15BP06,VZ219C-15BP 2.0E SU 00,40.57
VZ219C-20BP07,VZ219C-20BP 2.5E SU 00,60.74
VZ219E-15BP01,VZ219E-15BP 0.25E SU 00,39.08
VZ219E-15BP02,VZ219E-15BP 0.4E SU 00,39.08
VZ219E-15BP03,VZ219E-15BP 0.6E SU 00,39.08
VZ219E-15BP04,VZ219E-15BP 1.0E SU 00,39.08
VZ219E-15BP05,VZ219E-15BP 1.6E SU 00,39.08
VZ219E-15BP06,VZ219E-15BP 2.0E SU 00,39.08
VZ219E-20BP07,VZ219E-20BP 2.5E SU 00,48.01
VZ219E-20BP08,VZ219E-20BP 4.0E SU 00,82.62
VZ219E-20BP09,VZ219E-20BP 6.0E SU 00,89.78
VZ308C-15BP01,VZ308C-15BP 0.25E SU 00,48.59
VZ308C-15BP02,VZ308C-15BP 0.4E SU 00,48.59
VZ308C-15BP04,VZ308C-15BP 1.0E SU 00,48.59
VZ308C-15BP05,VZ308C-15BP 1.6E SU 00,48.59
VZ308C-20BP07,VZ308C-20BP 2.5E SU 00,65.64
VZ308E-15BP01,VZ308E-15BP 0.25E SU 00,41.79
VZ308E-15BP02,VZ308E-15BP 0.4E SU 00,41.79
VZ308E-15BP03,VZ308E-15BP 0.6E SU 00,41.79
VZ308E-15BP04,VZ308E-15BP 1.0E SU 00,41.79
VZ308E-15BP05,VZ308E-15BP 1.6E SU 00,41.79
VZ308E-20BP07,VZ308E-20BP 2.5E SU 00,49.66
VZ308E-20BP08,VZ308E-20BP 4.0E SU 00,95.06
VZ308E-20BP09,VZ308E-20BP 6.0E SU 00,97.56
VZ319C-15BP01,VZ319C-15BP 0.25E SU 00,52.78
VZ319C-15BP02,VZ319C-15BP 0.4E SU 00,52.78
VZ319C-15BP03,VZ319C-15BP 0.6E SU 00,52.78
VZ319C-15BP04,VZ319C-15BP 1.0E SU 00,52.78
VZ319C-15BP05,VZ319C-15BP 1.6E SU 00,52.78
VZ319C-15BP06,VZ319C-15BP 2.0E SU 00,52.78
VZ319C-20BP07,VZ319C-20BP 2.5E SU 00,56.85
VZ319E-15BP01,VZ319E-15BP 0.25E SU 00,54
VZ319E-15BP02,VZ319E-15BP 0.4E SU 00,54
VZ319E-15BP03,VZ319E-15BP 0.6E SU 00,54
VZ319E-15BP04,VZ319E-15BP 1.0E SU 00,54
VZ319E-15BP05,VZ319E-15BP 1.6E SU 00,54
VZ319E-15BP06,VZ319E-15BP 2.0E SU 00,54
VZ319E-20BP07,VZ319E-20BP 2.5E SU 00,66.56
VZ319E-20BP08,VZ319E-20BP 4.0E SU 00,80.75
VZ319E-20BP09,VZ319E-20BP 6.0E SU 00,86.04
VZ408C-15BP01,VZ408C-15BP 0.25E SU 00,63.66
VZ408C-15BP02,VZ408C-15BP 0.4E SU 00,63.66
VZ408C-15BP03,VZ408C-15BP 0.6E SU 00,63.66
VZ408C-15BP04,VZ408C-15BP 1.0E SU 00,63.66
VZ408C-15BP05,VZ408C-15BP 1.6E SU 00,63.66
VZ408C-20BP07,VZ408C-20BP 2.5E SU 00,107.26
VZ408E-15BP01,VZ408E-15BP 0.25E SU 00,48.01
VZ408E-15BP02,VZ408E-15BP 0.4E SU 00,48.01
VZ408E-15BP03,VZ408E-15BP 0.6E SU 00,48.01
VZ408E-15BP04,VZ408E-15BP 1.0E SU 00,48.01
VZ408E-15BP05,VZ408E-15BP 1.6E SU 00,48.01
VZ408E-20BP07,VZ408E-20BP 2.5E SU 00,55.88
VZ408E-20BP08,VZ408E-20BP 4.0E SU 00,89.65
VZ408E-20BP09,VZ408E-20BP 6.0E SU 00,95.06
VZ419C-15BP01,VZ419C-15BP 0.25E SU 00,65.64
VZ419C-15BP02,VZ419C-15BP 0.4E SU 00,65.64
VZ419C-15BP03,VZ419C-15BP 0.6E SU 00,65.64
VZ419C-15BP04,VZ419C-15BP 1.0E SU 00,65.64
VZ419C-15BP05,VZ419C-15BP 1.6E SU 00,65.64
VZ419C-15BP06,VZ419C-15BP 2.0E SU 00,65.64
VZ419C-20BP07,VZ419C-20BP 2.5E SU 00,105.36
VZ419E-15BP01,VZ419E-15BP 0.25E SU 00,58.95
VZ419E-15BP02,VZ419E-15BP 0.4E SU 00,58.95
VZ419E-15BP03,VZ419E-15BP 0.6E SU 00,58.95
VZ419E-15BP04,VZ419E-15BP 1.0E SU 00,58.95
VZ419E-15BP05,VZ419E-15BP 1.6E SU 00,58.95
VZ419E-15BP06,VZ419E-15BP 2.0E SU 00,58.95
VZ419E-20BP07,VZ419E-20BP 2.5E SU 00,69.64
VZ419E-20BP08,VZ419E-20BP 4.0E SU 00,100.7
VZ419E-20BP09,VZ419E-20BP 6.0E SU 00,105.56
CP-LI-FL-SW-BSP0,"Water Flow Switch,BSP",89.58
CP-LI-FL-SW-NPT0,"Water Flow Switch,NPT",89.58
SFW1251,WATER FLOWSWITCH,549.31
SXWSWEWSX00001,WebServices EWS Cons,3752.09
SXWSWEWSX00002,WEBSERVICES EWS CONS SRV,2120.84
SXWSWEWSX00003,WebServices EWS Cons Srv Hist,4588.05
SXWSWGWSX00001,WebServices Generic Consume,34.13
SXWSWEWSL00001,"WebServices, EWS Cons for Linux",1399.35
SXWSWEWSL00002,"WebServices, EWS Cons,Srv for Linux",6716.87
SXWSWEWSL00003,"WebServices, EWS Cons,Srv,Hist for Linux",21493.96
SXWSWGWSL00001,"WebServices, Generic Consume for Linux",193.14
CP-LI-PR-TR-0100,"Wet Pressure Transmitter, 0-100 kPa",203.28
CP-LI-PR-TR-1000,"Wet Pressure Transmitter, 0-1000 kPa",191.67
CP-LI-PR-TR-1600,"Wet Pressure Transmitter, 0-1600 kPa",191.67
CP-LI-PR-TR-0250,"Wet Pressure Transmitter, 0-250 kPa",203.28
CP-LI-PR-TR-2500,"Wet Pressure Transmitter, 0-2500 kPa",203.28
CP-LI-PR-TR-4000,"Wet Pressure Transmitter, 0-4000 kPa",203.28
CP-LI-PR-TR-0600,"Wet Pressure Transmitter, 0-600 kPa",191.67
SXWSWWORK00002,"WorkStation Pro,1user,no maint",5709.62
SXWASPXEN10001,XENTA TO AS-P ADAPTER,741.8
9141045000,ZDB-LF Angle of rotation limit,20.48
SXWREZBDALI110001,Zigbee- 0-10V Dim module,334.07
SXWREZB010110001,Zigbee- DALI Dim module,334.07
8455100000,ZONE ACTUATOR 6 5MM MZ18A (845,244.92
VM2323P33A000,ZV .75IN 2W 4CV PRGT NSR 24V,192.79
